institute,date,party,votes
allensbach,2007-03-21,GRÜNE,0.106
allensbach,2007-03-21,FDP,0.114
allensbach,2007-03-21,PDS,NA
allensbach,2007-03-21,REP,NA
allensbach,2007-03-21,Sonstige,0.033
allensbach,2007-03-21,Linke.PDS,NA
allensbach,2007-03-21,LINKE,0.096
allensbach,2007-03-21,PIRATEN,NA
allensbach,2007-03-21,AfD,NA
allensbach,2007-02-21,CDU/CSU,0.343
allensbach,2007-02-21,SPD,0.308
allensbach,2007-02-21,GRÜNE,0.099
allensbach,2007-02-21,FDP,0.127
allensbach,2007-02-21,PDS,NA
allensbach,2007-02-21,REP,NA
allensbach,2007-02-21,Sonstige,0.031
allensbach,2007-02-21,Linke.PDS,NA
allensbach,2007-02-21,LINKE,0.092
allensbach,2007-02-21,PIRATEN,NA
allensbach,2007-02-21,AfD,NA
allensbach,2007-01-23,CDU/CSU,0.347
allensbach,2007-01-23,SPD,0.298
allensbach,2007-01-23,GRÜNE,0.101
allensbach,2007-01-23,FDP,0.124
allensbach,2007-01-23,PDS,NA
allensbach,2007-01-23,REP,NA
allensbach,2007-01-23,Sonstige,0.031
allensbach,2007-01-23,Linke.PDS,NA
allensbach,2007-01-23,LINKE,0.099
allensbach,2007-01-23,PIRATEN,NA
allensbach,2007-01-23,AfD,NA
allensbach,2006-12-20,CDU/CSU,0.336
allensbach,2006-12-20,SPD,0.304
allensbach,2006-12-20,GRÜNE,0.099
allensbach,2006-12-20,FDP,0.124
allensbach,2006-12-20,PDS,NA
allensbach,2006-12-20,REP,NA
allensbach,2006-12-20,Sonstige,0.04
allensbach,2006-12-20,Linke.PDS,NA
allensbach,2006-12-20,LINKE,0.097
allensbach,2006-12-20,PIRATEN,NA
allensbach,2006-12-20,AfD,NA
allensbach,2006-11-14,CDU/CSU,0.312
allensbach,2006-11-14,SPD,0.301
allensbach,2006-11-14,GRÜNE,0.104
allensbach,2006-11-14,FDP,0.133
allensbach,2006-11-14,PDS,NA
allensbach,2006-11-14,REP,NA
allensbach,2006-11-14,Sonstige,0.048
allensbach,2006-11-14,Linke.PDS,NA
allensbach,2006-11-14,LINKE,0.102
allensbach,2006-11-14,PIRATEN,NA
allensbach,2006-11-14,AfD,NA
allensbach,2006-10-17,CDU/CSU,0.316
allensbach,2006-10-17,SPD,0.304
allensbach,2006-10-17,GRÜNE,0.11
allensbach,2006-10-17,FDP,0.128
allensbach,2006-10-17,PDS,NA
allensbach,2006-10-17,REP,NA
allensbach,2006-10-17,Sonstige,0.049
allensbach,2006-10-17,Linke.PDS,NA
allensbach,2006-10-17,LINKE,0.093
allensbach,2006-10-17,PIRATEN,NA
allensbach,2006-10-17,AfD,NA
allensbach,2006-09-20,CDU/CSU,0.358
allensbach,2006-09-20,SPD,0.288
allensbach,2006-09-20,GRÜNE,0.109
allensbach,2006-09-20,FDP,0.113
allensbach,2006-09-20,PDS,NA
allensbach,2006-09-20,REP,NA
allensbach,2006-09-20,Sonstige,0.033
allensbach,2006-09-20,Linke.PDS,NA
allensbach,2006-09-20,LINKE,0.099
allensbach,2006-09-20,PIRATEN,NA
allensbach,2006-09-20,AfD,NA
allensbach,2006-08-16,CDU/CSU,0.333
allensbach,2006-08-16,SPD,0.293
allensbach,2006-08-16,GRÜNE,0.099
allensbach,2006-08-16,FDP,0.125
allensbach,2006-08-16,PDS,NA
allensbach,2006-08-16,REP,NA
allensbach,2006-08-16,Sonstige,0.047
allensbach,2006-08-16,Linke.PDS,NA
allensbach,2006-08-16,LINKE,0.103
allensbach,2006-08-16,PIRATEN,NA
allensbach,2006-08-16,AfD,NA
allensbach,2006-07-19,CDU/CSU,0.366
allensbach,2006-07-19,SPD,0.282
allensbach,2006-07-19,GRÜNE,0.092
allensbach,2006-07-19,FDP,0.121
allensbach,2006-07-19,PDS,NA
allensbach,2006-07-19,REP,NA
allensbach,2006-07-19,Sonstige,0.047
allensbach,2006-07-19,Linke.PDS,NA
allensbach,2006-07-19,LINKE,0.092
allensbach,2006-07-19,PIRATEN,NA
allensbach,2006-07-19,AfD,NA
allensbach,2006-06-21,CDU/CSU,0.353
allensbach,2006-06-21,SPD,0.305
allensbach,2006-06-21,GRÜNE,0.092
allensbach,2006-06-21,FDP,0.115
allensbach,2006-06-21,PDS,NA
allensbach,2006-06-21,REP,NA
allensbach,2006-06-21,Sonstige,0.032
allensbach,2006-06-21,Linke.PDS,NA
allensbach,2006-06-21,LINKE,0.103
allensbach,2006-06-21,PIRATEN,NA
allensbach,2006-06-21,AfD,NA
allensbach,2006-05-17,CDU/CSU,0.375
allensbach,2006-05-17,SPD,0.307
allensbach,2006-05-17,GRÜNE,0.075
allensbach,2006-05-17,FDP,0.106
allensbach,2006-05-17,PDS,NA
allensbach,2006-05-17,REP,NA
allensbach,2006-05-17,Sonstige,0.038
allensbach,2006-05-17,Linke.PDS,NA
allensbach,2006-05-17,LINKE,0.099
allensbach,2006-05-17,PIRATEN,NA
allensbach,2006-05-17,AfD,NA
allensbach,2006-04-12,CDU/CSU,0.375
allensbach,2006-04-12,SPD,0.302
allensbach,2006-04-12,GRÜNE,0.083
allensbach,2006-04-12,FDP,0.106
allensbach,2006-04-12,PDS,NA
allensbach,2006-04-12,REP,NA
allensbach,2006-04-12,Sonstige,0.041
allensbach,2006-04-12,Linke.PDS,NA
allensbach,2006-04-12,LINKE,0.093
allensbach,2006-04-12,PIRATEN,NA
allensbach,2006-04-12,AfD,NA
allensbach,2006-03-15,CDU/CSU,0.383
allensbach,2006-03-15,SPD,0.303
allensbach,2006-03-15,GRÜNE,0.081
allensbach,2006-03-15,FDP,0.11
allensbach,2006-03-15,PDS,NA
allensbach,2006-03-15,REP,NA
allensbach,2006-03-15,Sonstige,0.029
allensbach,2006-03-15,Linke.PDS,NA
allensbach,2006-03-15,LINKE,0.094
allensbach,2006-03-15,PIRATEN,NA
allensbach,2006-03-15,AfD,NA
allensbach,2006-02-22,CDU/CSU,0.372
allensbach,2006-02-22,SPD,0.319
allensbach,2006-02-22,GRÜNE,0.079
allensbach,2006-02-22,FDP,0.098
allensbach,2006-02-22,PDS,NA
allensbach,2006-02-22,REP,NA
allensbach,2006-02-22,Sonstige,0.038
allensbach,2006-02-22,Linke.PDS,NA
allensbach,2006-02-22,LINKE,0.094
allensbach,2006-02-22,PIRATEN,NA
allensbach,2006-02-22,AfD,NA
allensbach,2006-01-25,CDU/CSU,0.378
allensbach,2006-01-25,SPD,0.308
allensbach,2006-01-25,GRÜNE,0.084
allensbach,2006-01-25,FDP,0.098
allensbach,2006-01-25,PDS,NA
allensbach,2006-01-25,REP,NA
allensbach,2006-01-25,Sonstige,0.045
allensbach,2006-01-25,Linke.PDS,NA
allensbach,2006-01-25,LINKE,0.087
allensbach,2006-01-25,PIRATEN,NA
allensbach,2006-01-25,AfD,NA
allensbach,2005-12-21,CDU/CSU,0.363
allensbach,2005-12-21,SPD,0.326
allensbach,2005-12-21,GRÜNE,0.082
allensbach,2005-12-21,FDP,0.103
allensbach,2005-12-21,PDS,NA
allensbach,2005-12-21,REP,NA
allensbach,2005-12-21,Sonstige,0.035
allensbach,2005-12-21,Linke.PDS,NA
allensbach,2005-12-21,LINKE,0.091
allensbach,2005-12-21,PIRATEN,NA
allensbach,2005-12-21,AfD,NA
allensbach,2005-11-23,CDU/CSU,0.357
allensbach,2005-11-23,SPD,0.326
allensbach,2005-11-23,GRÜNE,0.08
allensbach,2005-11-23,FDP,0.107
allensbach,2005-11-23,PDS,NA
allensbach,2005-11-23,REP,NA
allensbach,2005-11-23,Sonstige,0.041
allensbach,2005-11-23,Linke.PDS,NA
allensbach,2005-11-23,LINKE,0.089
allensbach,2005-11-23,PIRATEN,NA
allensbach,2005-11-23,AfD,NA
allensbach,2005-10-19,CDU/CSU,0.364
allensbach,2005-10-19,SPD,0.332
allensbach,2005-10-19,GRÜNE,0.083
allensbach,2005-10-19,FDP,0.096
allensbach,2005-10-19,PDS,NA
allensbach,2005-10-19,REP,NA
allensbach,2005-10-19,Sonstige,0.034
allensbach,2005-10-19,Linke.PDS,NA
allensbach,2005-10-19,LINKE,0.091
allensbach,2005-10-19,PIRATEN,NA
allensbach,2005-10-19,AfD,NA
allensbach,2005-09-18,CDU/CSU,0.352
allensbach,2005-09-18,SPD,0.342
allensbach,2005-09-18,GRÜNE,0.081
allensbach,2005-09-18,FDP,0.098
allensbach,2005-09-18,PDS,NA
allensbach,2005-09-18,REP,NA
allensbach,2005-09-18,Sonstige,0.039
allensbach,2005-09-18,Linke.PDS,NA
allensbach,2005-09-18,LINKE,0.087
allensbach,2005-09-18,PIRATEN,NA
allensbach,2005-09-18,AfD,NA
allensbach,2013-09-20,CDU/CSU,0.395
allensbach,2013-09-20,SPD,0.27
allensbach,2013-09-20,GRÜNE,0.09
allensbach,2013-09-20,FDP,0.055
allensbach,2013-09-20,PDS,NA
allensbach,2013-09-20,REP,NA
allensbach,2013-09-20,Sonstige,0.035
allensbach,2013-09-20,Linke.PDS,NA
allensbach,2013-09-20,LINKE,0.09
allensbach,2013-09-20,PIRATEN,0.02
allensbach,2013-09-20,AfD,0.045
allensbach,2013-09-18,CDU/CSU,0.39
allensbach,2013-09-18,SPD,0.26
allensbach,2013-09-18,GRÜNE,0.11
allensbach,2013-09-18,FDP,0.06
allensbach,2013-09-18,PDS,NA
allensbach,2013-09-18,REP,NA
allensbach,2013-09-18,Sonstige,0.035
allensbach,2013-09-18,Linke.PDS,NA
allensbach,2013-09-18,LINKE,0.09
allensbach,2013-09-18,PIRATEN,0.02
allensbach,2013-09-18,AfD,0.035
allensbach,2013-09-04,CDU/CSU,0.4
allensbach,2013-09-04,SPD,0.25
allensbach,2013-09-04,GRÜNE,0.125
allensbach,2013-09-04,FDP,0.06
allensbach,2013-09-04,PDS,NA
allensbach,2013-09-04,REP,NA
allensbach,2013-09-04,Sonstige,0.035
allensbach,2013-09-04,Linke.PDS,NA
allensbach,2013-09-04,LINKE,0.075
allensbach,2013-09-04,PIRATEN,0.025
allensbach,2013-09-04,AfD,0.03
allensbach,2013-08-21,CDU/CSU,0.39
allensbach,2013-08-21,SPD,0.245
allensbach,2013-08-21,GRÜNE,0.135
allensbach,2013-08-21,FDP,0.07
allensbach,2013-08-21,PDS,NA
allensbach,2013-08-21,REP,NA
allensbach,2013-08-21,Sonstige,0.04
allensbach,2013-08-21,Linke.PDS,NA
allensbach,2013-08-21,LINKE,0.07
allensbach,2013-08-21,PIRATEN,0.02
allensbach,2013-08-21,AfD,0.03
allensbach,2013-07-12,CDU/CSU,0.4
allensbach,2013-07-12,SPD,0.255
allensbach,2013-07-12,GRÜNE,0.125
allensbach,2013-07-12,FDP,0.065
allensbach,2013-07-12,PDS,NA
allensbach,2013-07-12,REP,NA
allensbach,2013-07-12,Sonstige,0.04
allensbach,2013-07-12,Linke.PDS,NA
allensbach,2013-07-12,LINKE,0.06
allensbach,2013-07-12,PIRATEN,0.02
allensbach,2013-07-12,AfD,0.035
allensbach,2013-06-19,CDU/CSU,0.38
allensbach,2013-06-19,SPD,0.26
allensbach,2013-06-19,GRÜNE,0.14
allensbach,2013-06-19,FDP,0.06
allensbach,2013-06-19,PDS,NA
allensbach,2013-06-19,REP,NA
allensbach,2013-06-19,Sonstige,0.04
allensbach,2013-06-19,Linke.PDS,NA
allensbach,2013-06-19,LINKE,0.07
allensbach,2013-06-19,PIRATEN,0.02
allensbach,2013-06-19,AfD,0.03
allensbach,2013-05-22,CDU/CSU,0.39
allensbach,2013-05-22,SPD,0.27
allensbach,2013-05-22,GRÜNE,0.13
allensbach,2013-05-22,FDP,0.06
allensbach,2013-05-22,PDS,NA
allensbach,2013-05-22,REP,NA
allensbach,2013-05-22,Sonstige,0.03
allensbach,2013-05-22,Linke.PDS,NA
allensbach,2013-05-22,LINKE,0.06
allensbach,2013-05-22,PIRATEN,0.025
allensbach,2013-05-22,AfD,0.035
allensbach,2013-05-03,CDU/CSU,0.385
allensbach,2013-05-03,SPD,0.26
allensbach,2013-05-03,GRÜNE,0.15
allensbach,2013-05-03,FDP,0.055
allensbach,2013-05-03,PDS,NA
allensbach,2013-05-03,REP,NA
allensbach,2013-05-03,Sonstige,0.025
allensbach,2013-05-03,Linke.PDS,NA
allensbach,2013-05-03,LINKE,0.06
allensbach,2013-05-03,PIRATEN,0.03
allensbach,2013-05-03,AfD,0.035
allensbach,2013-04-17,CDU/CSU,0.385
allensbach,2013-04-17,SPD,0.28
allensbach,2013-04-17,GRÜNE,0.15
allensbach,2013-04-17,FDP,0.05
allensbach,2013-04-17,PDS,NA
allensbach,2013-04-17,REP,NA
allensbach,2013-04-17,Sonstige,0.035
allensbach,2013-04-17,Linke.PDS,NA
allensbach,2013-04-17,LINKE,0.07
allensbach,2013-04-17,PIRATEN,0.03
allensbach,2013-04-17,AfD,NA
allensbach,2013-03-20,CDU/CSU,0.395
allensbach,2013-03-20,SPD,0.265
allensbach,2013-03-20,GRÜNE,0.155
allensbach,2013-03-20,FDP,0.06
allensbach,2013-03-20,PDS,NA
allensbach,2013-03-20,REP,NA
allensbach,2013-03-20,Sonstige,0.04
allensbach,2013-03-20,Linke.PDS,NA
allensbach,2013-03-20,LINKE,0.06
allensbach,2013-03-20,PIRATEN,0.025
allensbach,2013-03-20,AfD,NA
allensbach,2013-02-20,CDU/CSU,0.39
allensbach,2013-02-20,SPD,0.27
allensbach,2013-02-20,GRÜNE,0.15
allensbach,2013-02-20,FDP,0.06
allensbach,2013-02-20,PDS,NA
allensbach,2013-02-20,REP,NA
allensbach,2013-02-20,Sonstige,0.035
allensbach,2013-02-20,Linke.PDS,NA
allensbach,2013-02-20,LINKE,0.065
allensbach,2013-02-20,PIRATEN,0.03
allensbach,2013-02-20,AfD,NA
allensbach,2013-01-23,CDU/CSU,0.39
allensbach,2013-01-23,SPD,0.28
allensbach,2013-01-23,GRÜNE,0.14
allensbach,2013-01-23,FDP,0.05
allensbach,2013-01-23,PDS,NA
allensbach,2013-01-23,REP,NA
allensbach,2013-01-23,Sonstige,0.04
allensbach,2013-01-23,Linke.PDS,NA
allensbach,2013-01-23,LINKE,0.07
allensbach,2013-01-23,PIRATEN,0.03
allensbach,2013-01-23,AfD,NA
allensbach,2012-12-19,CDU/CSU,0.375
allensbach,2012-12-19,SPD,0.3
allensbach,2012-12-19,GRÜNE,0.14
allensbach,2012-12-19,FDP,0.045
allensbach,2012-12-19,PDS,NA
allensbach,2012-12-19,REP,NA
allensbach,2012-12-19,Sonstige,0.04
allensbach,2012-12-19,Linke.PDS,NA
allensbach,2012-12-19,LINKE,0.065
allensbach,2012-12-19,PIRATEN,0.035
allensbach,2012-12-19,AfD,NA
allensbach,2012-11-21,CDU/CSU,0.375
allensbach,2012-11-21,SPD,0.31
allensbach,2012-11-21,GRÜNE,0.125
allensbach,2012-11-21,FDP,0.04
allensbach,2012-11-21,PDS,NA
allensbach,2012-11-21,REP,NA
allensbach,2012-11-21,Sonstige,0.045
allensbach,2012-11-21,Linke.PDS,NA
allensbach,2012-11-21,LINKE,0.065
allensbach,2012-11-21,PIRATEN,0.04
allensbach,2012-11-21,AfD,NA
allensbach,2012-10-17,CDU/CSU,0.355
allensbach,2012-10-17,SPD,0.31
allensbach,2012-10-17,GRÜNE,0.14
allensbach,2012-10-17,FDP,0.045
allensbach,2012-10-17,PDS,NA
allensbach,2012-10-17,REP,NA
allensbach,2012-10-17,Sonstige,0.04
allensbach,2012-10-17,Linke.PDS,NA
allensbach,2012-10-17,LINKE,0.06
allensbach,2012-10-17,PIRATEN,0.05
allensbach,2012-10-17,AfD,NA
allensbach,2012-09-26,CDU/CSU,0.34
allensbach,2012-09-26,SPD,0.3
allensbach,2012-09-26,GRÜNE,0.14
allensbach,2012-09-26,FDP,0.055
allensbach,2012-09-26,PDS,NA
allensbach,2012-09-26,REP,NA
allensbach,2012-09-26,Sonstige,0.045
allensbach,2012-09-26,Linke.PDS,NA
allensbach,2012-09-26,LINKE,0.065
allensbach,2012-09-26,PIRATEN,0.055
allensbach,2012-09-26,AfD,NA
allensbach,2012-08-22,CDU/CSU,0.35
allensbach,2012-08-22,SPD,0.28
allensbach,2012-08-22,GRÜNE,0.15
allensbach,2012-08-22,FDP,0.055
allensbach,2012-08-22,PDS,NA
allensbach,2012-08-22,REP,NA
allensbach,2012-08-22,Sonstige,0.04
allensbach,2012-08-22,Linke.PDS,NA
allensbach,2012-08-22,LINKE,0.06
allensbach,2012-08-22,PIRATEN,0.065
allensbach,2012-08-22,AfD,NA
allensbach,2012-07-18,CDU/CSU,0.36
allensbach,2012-07-18,SPD,0.27
allensbach,2012-07-18,GRÜNE,0.14
allensbach,2012-07-18,FDP,0.06
allensbach,2012-07-18,PDS,NA
allensbach,2012-07-18,REP,NA
allensbach,2012-07-18,Sonstige,0.045
allensbach,2012-07-18,Linke.PDS,NA
allensbach,2012-07-18,LINKE,0.06
allensbach,2012-07-18,PIRATEN,0.065
allensbach,2012-07-18,AfD,NA
allensbach,2012-06-20,CDU/CSU,0.34
allensbach,2012-06-20,SPD,0.28
allensbach,2012-06-20,GRÜNE,0.155
allensbach,2012-06-20,FDP,0.055
allensbach,2012-06-20,PDS,NA
allensbach,2012-06-20,REP,NA
allensbach,2012-06-20,Sonstige,0.045
allensbach,2012-06-20,Linke.PDS,NA
allensbach,2012-06-20,LINKE,0.05
allensbach,2012-06-20,PIRATEN,0.075
allensbach,2012-06-20,AfD,NA
allensbach,2012-05-23,CDU/CSU,0.355
allensbach,2012-05-23,SPD,0.3
allensbach,2012-05-23,GRÜNE,0.14
allensbach,2012-05-23,FDP,0.045
allensbach,2012-05-23,PDS,NA
allensbach,2012-05-23,REP,NA
allensbach,2012-05-23,Sonstige,0.035
allensbach,2012-05-23,Linke.PDS,NA
allensbach,2012-05-23,LINKE,0.055
allensbach,2012-05-23,PIRATEN,0.07
allensbach,2012-05-23,AfD,NA
allensbach,2012-04-18,CDU/CSU,0.345
allensbach,2012-04-18,SPD,0.28
allensbach,2012-04-18,GRÜNE,0.14
allensbach,2012-04-18,FDP,0.035
allensbach,2012-04-18,PDS,NA
allensbach,2012-04-18,REP,NA
allensbach,2012-04-18,Sonstige,0.03
allensbach,2012-04-18,Linke.PDS,NA
allensbach,2012-04-18,LINKE,0.07
allensbach,2012-04-18,PIRATEN,0.1
allensbach,2012-04-18,AfD,NA
allensbach,2012-03-21,CDU/CSU,0.35
allensbach,2012-03-21,SPD,0.3
allensbach,2012-03-21,GRÜNE,0.16
allensbach,2012-03-21,FDP,0.035
allensbach,2012-03-21,PDS,NA
allensbach,2012-03-21,REP,NA
allensbach,2012-03-21,Sonstige,0.035
allensbach,2012-03-21,Linke.PDS,NA
allensbach,2012-03-21,LINKE,0.07
allensbach,2012-03-21,PIRATEN,0.05
allensbach,2012-03-21,AfD,NA
allensbach,2012-02-22,CDU/CSU,0.36
allensbach,2012-02-22,SPD,0.28
allensbach,2012-02-22,GRÜNE,0.155
allensbach,2012-02-22,FDP,0.045
allensbach,2012-02-22,PDS,NA
allensbach,2012-02-22,REP,NA
allensbach,2012-02-22,Sonstige,0.035
allensbach,2012-02-22,Linke.PDS,NA
allensbach,2012-02-22,LINKE,0.075
allensbach,2012-02-22,PIRATEN,0.05
allensbach,2012-02-22,AfD,NA
allensbach,2012-01-25,CDU/CSU,0.35
allensbach,2012-01-25,SPD,0.29
allensbach,2012-01-25,GRÜNE,0.165
allensbach,2012-01-25,FDP,0.04
allensbach,2012-01-25,PDS,NA
allensbach,2012-01-25,REP,NA
allensbach,2012-01-25,Sonstige,0.045
allensbach,2012-01-25,Linke.PDS,NA
allensbach,2012-01-25,LINKE,0.07
allensbach,2012-01-25,PIRATEN,0.04
allensbach,2012-01-25,AfD,NA
allensbach,2011-12-13,CDU/CSU,0.34
allensbach,2011-12-13,SPD,0.3
allensbach,2011-12-13,GRÜNE,0.16
allensbach,2011-12-13,FDP,0.04
allensbach,2011-12-13,PDS,NA
allensbach,2011-12-13,REP,NA
allensbach,2011-12-13,Sonstige,0.04
allensbach,2011-12-13,Linke.PDS,NA
allensbach,2011-12-13,LINKE,0.07
allensbach,2011-12-13,PIRATEN,0.05
allensbach,2011-12-13,AfD,NA
allensbach,2011-11-16,CDU/CSU,0.32
allensbach,2011-11-16,SPD,0.3
allensbach,2011-11-16,GRÜNE,0.17
allensbach,2011-11-16,FDP,0.045
allensbach,2011-11-16,PDS,NA
allensbach,2011-11-16,REP,NA
allensbach,2011-11-16,Sonstige,0.04
allensbach,2011-11-16,Linke.PDS,NA
allensbach,2011-11-16,LINKE,0.08
allensbach,2011-11-16,PIRATEN,0.045
allensbach,2011-11-16,AfD,NA
allensbach,2011-10-19,CDU/CSU,0.31
allensbach,2011-10-19,SPD,0.305
allensbach,2011-10-19,GRÜNE,0.175
allensbach,2011-10-19,FDP,0.045
allensbach,2011-10-19,PDS,NA
allensbach,2011-10-19,REP,NA
allensbach,2011-10-19,Sonstige,0.035
allensbach,2011-10-19,Linke.PDS,NA
allensbach,2011-10-19,LINKE,0.075
allensbach,2011-10-19,PIRATEN,0.055
allensbach,2011-10-19,AfD,NA
allensbach,2011-09-21,CDU/CSU,0.335
allensbach,2011-09-21,SPD,0.285
allensbach,2011-09-21,GRÜNE,0.19
allensbach,2011-09-21,FDP,0.05
allensbach,2011-09-21,PDS,NA
allensbach,2011-09-21,REP,NA
allensbach,2011-09-21,Sonstige,0.06
allensbach,2011-09-21,Linke.PDS,NA
allensbach,2011-09-21,LINKE,0.08
allensbach,2011-09-21,PIRATEN,NA
allensbach,2011-09-21,AfD,NA
allensbach,2011-08-16,CDU/CSU,0.33
allensbach,2011-08-16,SPD,0.29
allensbach,2011-08-16,GRÜNE,0.2
allensbach,2011-08-16,FDP,0.045
allensbach,2011-08-16,PDS,NA
allensbach,2011-08-16,REP,NA
allensbach,2011-08-16,Sonstige,0.06
allensbach,2011-08-16,Linke.PDS,NA
allensbach,2011-08-16,LINKE,0.075
allensbach,2011-08-16,PIRATEN,NA
allensbach,2011-08-16,AfD,NA
allensbach,2011-07-20,CDU/CSU,0.34
allensbach,2011-07-20,SPD,0.27
allensbach,2011-07-20,GRÜNE,0.2
allensbach,2011-07-20,FDP,0.055
allensbach,2011-07-20,PDS,NA
allensbach,2011-07-20,REP,NA
allensbach,2011-07-20,Sonstige,0.06
allensbach,2011-07-20,Linke.PDS,NA
allensbach,2011-07-20,LINKE,0.075
allensbach,2011-07-20,PIRATEN,NA
allensbach,2011-07-20,AfD,NA
allensbach,2011-06-22,CDU/CSU,0.345
allensbach,2011-06-22,SPD,0.275
allensbach,2011-06-22,GRÜNE,0.21
allensbach,2011-06-22,FDP,0.045
allensbach,2011-06-22,PDS,NA
allensbach,2011-06-22,REP,NA
allensbach,2011-06-22,Sonstige,0.055
allensbach,2011-06-22,Linke.PDS,NA
allensbach,2011-06-22,LINKE,0.07
allensbach,2011-06-22,PIRATEN,NA
allensbach,2011-06-22,AfD,NA
allensbach,2011-05-18,CDU/CSU,0.33
allensbach,2011-05-18,SPD,0.27
allensbach,2011-05-18,GRÜNE,0.22
allensbach,2011-05-18,FDP,0.055
allensbach,2011-05-18,PDS,NA
allensbach,2011-05-18,REP,NA
allensbach,2011-05-18,Sonstige,0.06
allensbach,2011-05-18,Linke.PDS,NA
allensbach,2011-05-18,LINKE,0.065
allensbach,2011-05-18,PIRATEN,NA
allensbach,2011-05-18,AfD,NA
allensbach,2011-04-19,CDU/CSU,0.32
allensbach,2011-04-19,SPD,0.28
allensbach,2011-04-19,GRÜNE,0.23
allensbach,2011-04-19,FDP,0.05
allensbach,2011-04-19,PDS,NA
allensbach,2011-04-19,REP,NA
allensbach,2011-04-19,Sonstige,0.05
allensbach,2011-04-19,Linke.PDS,NA
allensbach,2011-04-19,LINKE,0.07
allensbach,2011-04-19,PIRATEN,NA
allensbach,2011-04-19,AfD,NA
allensbach,2011-03-16,CDU/CSU,0.365
allensbach,2011-03-16,SPD,0.29
allensbach,2011-03-16,GRÜNE,0.15
allensbach,2011-03-16,FDP,0.065
allensbach,2011-03-16,PDS,NA
allensbach,2011-03-16,REP,NA
allensbach,2011-03-16,Sonstige,0.05
allensbach,2011-03-16,Linke.PDS,NA
allensbach,2011-03-16,LINKE,0.08
allensbach,2011-03-16,PIRATEN,NA
allensbach,2011-03-16,AfD,NA
allensbach,2011-02-23,CDU/CSU,0.36
allensbach,2011-02-23,SPD,0.285
allensbach,2011-02-23,GRÜNE,0.165
allensbach,2011-02-23,FDP,0.065
allensbach,2011-02-23,PDS,NA
allensbach,2011-02-23,REP,NA
allensbach,2011-02-23,Sonstige,0.05
allensbach,2011-02-23,Linke.PDS,NA
allensbach,2011-02-23,LINKE,0.075
allensbach,2011-02-23,PIRATEN,NA
allensbach,2011-02-23,AfD,NA
allensbach,2011-01-25,CDU/CSU,0.345
allensbach,2011-01-25,SPD,0.275
allensbach,2011-01-25,GRÜNE,0.18
allensbach,2011-01-25,FDP,0.055
allensbach,2011-01-25,PDS,NA
allensbach,2011-01-25,REP,NA
allensbach,2011-01-25,Sonstige,0.06
allensbach,2011-01-25,Linke.PDS,NA
allensbach,2011-01-25,LINKE,0.085
allensbach,2011-01-25,PIRATEN,NA
allensbach,2011-01-25,AfD,NA
allensbach,2010-12-21,CDU/CSU,0.34
allensbach,2010-12-21,SPD,0.285
allensbach,2010-12-21,GRÜNE,0.185
allensbach,2010-12-21,FDP,0.06
allensbach,2010-12-21,PDS,NA
allensbach,2010-12-21,REP,NA
allensbach,2010-12-21,Sonstige,0.05
allensbach,2010-12-21,Linke.PDS,NA
allensbach,2010-12-21,LINKE,0.08
allensbach,2010-12-21,PIRATEN,NA
allensbach,2010-12-21,AfD,NA
allensbach,2010-11-24,CDU/CSU,0.32
allensbach,2010-11-24,SPD,0.275
allensbach,2010-11-24,GRÜNE,0.195
allensbach,2010-11-24,FDP,0.06
allensbach,2010-11-24,PDS,NA
allensbach,2010-11-24,REP,NA
allensbach,2010-11-24,Sonstige,0.06
allensbach,2010-11-24,Linke.PDS,NA
allensbach,2010-11-24,LINKE,0.09
allensbach,2010-11-24,PIRATEN,NA
allensbach,2010-11-24,AfD,NA
allensbach,2010-10-20,CDU/CSU,0.305
allensbach,2010-10-20,SPD,0.28
allensbach,2010-10-20,GRÜNE,0.205
allensbach,2010-10-20,FDP,0.055
allensbach,2010-10-20,PDS,NA
allensbach,2010-10-20,REP,NA
allensbach,2010-10-20,Sonstige,0.06
allensbach,2010-10-20,Linke.PDS,NA
allensbach,2010-10-20,LINKE,0.095
allensbach,2010-10-20,PIRATEN,NA
allensbach,2010-10-20,AfD,NA
allensbach,2010-09-21,CDU/CSU,0.325
allensbach,2010-09-21,SPD,0.295
allensbach,2010-09-21,GRÜNE,0.185
allensbach,2010-09-21,FDP,0.065
allensbach,2010-09-21,PDS,NA
allensbach,2010-09-21,REP,NA
allensbach,2010-09-21,Sonstige,0.05
allensbach,2010-09-21,Linke.PDS,NA
allensbach,2010-09-21,LINKE,0.08
allensbach,2010-09-21,PIRATEN,NA
allensbach,2010-09-21,AfD,NA
allensbach,2010-08-17,CDU/CSU,0.31
allensbach,2010-08-17,SPD,0.32
allensbach,2010-08-17,GRÜNE,0.17
allensbach,2010-08-17,FDP,0.06
allensbach,2010-08-17,PDS,NA
allensbach,2010-08-17,REP,NA
allensbach,2010-08-17,Sonstige,0.055
allensbach,2010-08-17,Linke.PDS,NA
allensbach,2010-08-17,LINKE,0.085
allensbach,2010-08-17,PIRATEN,NA
allensbach,2010-08-17,AfD,NA
allensbach,2010-07-20,CDU/CSU,0.315
allensbach,2010-07-20,SPD,0.315
allensbach,2010-07-20,GRÜNE,0.155
allensbach,2010-07-20,FDP,0.065
allensbach,2010-07-20,PDS,NA
allensbach,2010-07-20,REP,NA
